Evsahibi,Deplasman,EVG,DEPG,MS,İEG,İDG,İS,ES,DS,EKS,DKS,EF,DF,EK,DK,ESK,DSK,EKK,DKK
Rizespor,Konyaspor,1,1,3,1,0,1,9,14,3,4,20,21,3,7,2,0,1,0
Trabzonspor,Erzurum BB,0,0,3,0,0,3,13,10,1,4,10,14,7,5,1,3,0,0
Bursaspor,Alanyaspor,2,0,1,2,0,1,12,7,7,0,17,17,2,6,1,0,0,0
Antalyaspor,Trabzonspor,1,1,3,1,1,3,12,11,7,4,14,15,5,3,2,1,0,0
Erzurum BB,Kasimpasa,1,1,3,1,0,1,14,18,5,7,18,9,6,8,4,1,1,0
Konyaspor,Buyuksehyr,0,1,2,0,0,3,9,7,1,4,11,15,3,2,1,0,0,0
Fenerbahce,Ankaragucu,1,3,2,0,1,2,13,17,3,8,16,21,5,7,4,5,1,0
Kayserispor,Sivasspor,2,0,1,0,0,3,10,14,4,2,13,14,3,5,4,6,0,1
Yeni Malatyaspor,Galatasaray,2,0,1,1,0,1,12,14,5,2,16,13,5,5,2,1,0,0
Akhisar Belediyespor,Goztep,1,0,1,1,0,1,11,13,4,3,18,14,3,3,3,4,0,0
Besiktas,Rizespor,4,1,1,2,0,1,26,5,12,2,12,12,7,2,3,2,0,2
Galatasaray,Fenerbahce,2,2,3,1,0,1,16,17,3,5,9,16,6,4,1,4,0,0
Akhisar Belediyespor,Erzurum BB,1,1,3,1,1,3,10,5,5,1,13,16,3,2,2,1,0,0
Buyuksehyr,Besiktas,1,0,1,1,0,1,9,15,3,3,14,14,3,9,2,2,0,0
Kasimpasa,Antalyaspor,1,2,2,1,1,3,19,9,6,6,12,14,7,3,2,4,0,0
Alanyaspor,Yeni Malatyaspor,0,1,2,0,1,2,17,2,6,1,20,20,10,0,2,3,0,0
Ankaragucu,Kayserispor,3,1,1,2,0,1,10,11,5,2,18,18,3,6,0,4,0,1
Trabzonspor,Bursaspor,1,1,3,1,0,1,17,14,6,6,16,16,3,6,2,2,0,0
Goztep,Rizespor,2,0,1,1,0,1,12,13,6,2,11,8,6,13,0,1,0,0
Sivasspor,Konyaspor,0,0,3,0,0,3,17,10,3,2,23,13,12,3,2,4,0,1
Yeni Malatyaspor,Trabzonspor,5,0,1,2,0,1,10,15,6,5,14,6,2,2,1,1,0,0
Erzurum BB,Goztep,2,1,1,1,0,1,7,9,4,3,14,9,2,6,2,2,0,0
Kayserispor,Galatasaray,0,3,2,0,1,2,12,11,3,6,13,9,4,3,5,3,1,0
Konyaspor,Ankaragucu,2,0,1,0,0,3,15,7,3,2,15,16,3,4,1,2,0,0
Rizespor,Buyuksehyr,1,2,2,0,0,3,6,13,2,4,14,10,4,4,2,1,0,0
Antalyaspor,Akhisar Belediyespor,1,2,2,0,0,3,17,5,6,3,10,17,8,7,3,1,0,0
Besiktas,Sivasspor,1,2,2,1,1,3,9,10,2,3,14,14,6,5,4,3,0,0
Bursaspor,Kasimpasa,1,2,2,1,1,3,24,10,4,4,17,14,6,6,3,1,0,0
Fenerbahce,Alanyaspor,2,0,1,2,0,1,12,10,5,3,11,17,3,6,2,2,0,0
Galatasaray,Konyaspor,1,1,3,0,0,3,13,8,2,2,12,14,0,3,1,3,1,0
Alanyaspor,Kayserispor,5,0,1,1,0,1,15,5,10,1,20,11,9,2,3,5,0,0
Ankaragucu,Besiktas,1,4,2,0,3,2,15,15,4,6,18,15,4,5,2,2,0,0
Erzurum BB,Antalyaspor,1,0,1,0,0,3,14,7,2,1,12,12,7,3,3,0,0,0
Akhisar Belediyespor,Bursaspor,2,4,2,2,1,1,6,19,3,7,13,11,3,7,0,2,0,0
Kasimpasa,Yeni Malatyaspor,3,0,1,1,0,1,21,17,9,2,19,9,7,4,2,1,0,0
Sivasspor,Rizespor,1,1,3,0,0,3,25,9,6,4,14,7,19,3,2,3,1,0
Trabzonspor,Fenerbahce,2,1,1,0,0,3,26,11,8,3,11,17,6,6,3,3,0,0
Goztep,Buyuksehyr,0,2,2,0,1,2,15,15,4,7,8,13,7,1,4,3,0,0
